CompVar,Company,Variety,SeedTreatment,Location,Trait,Value
GROWMARK_FS 624,GROWMARK,FS 624,C,Neoga,ThreeYrAve,90.797
GROWMARK_WX18A,GROWMARK,WX18A,C,Neoga,ThreeYrAve,NA
GROWMARK_WX18B,GROWMARK,WX18B,C,Neoga,ThreeYrAve,NA
GROWMARK_WX18C,GROWMARK,WX18C,C,Neoga,ThreeYrAve,NA
Hoffman Seed_H7W15,Hoffman Seed,H7W15,C,Neoga,ThreeYrAve,89.098
Hoffman Seed_H7W16,Hoffman Seed,H7W16,C,Neoga,ThreeYrAve,NA
Hoffman Seed_H7W17,Hoffman Seed,H7W17,C,Neoga,ThreeYrAve,NA
Hoffman Seed_H7W18,Hoffman Seed,H7W18,C,Neoga,ThreeYrAve,NA
Hoffman Seed_H7W28,Hoffman Seed,H7W28,C,Neoga,ThreeYrAve,NA
Kitchen Seed Company_KSC 416,Kitchen Seed Company,KSC 416,G,Neoga,ThreeYrAve,NA
Kitchen Seed Company_KSC 417,Kitchen Seed Company,KSC 417,G,Neoga,ThreeYrAve,NA
Kitchen Seed Company_KSC 418,Kitchen Seed Company,KSC 418,G,Neoga,ThreeYrAve,NA
LCS_AMMO,LCS,AMMO,,Neoga,ThreeYrAve,NA
Limagrain_L11548,Limagrain,L11548,C,Neoga,ThreeYrAve,NA
Limagrain_L11549,Limagrain,L11549,C,Neoga,ThreeYrAve,NA
Limagrain_L11617,Limagrain,L11617,C,Neoga,ThreeYrAve,NA
Limagrain_L11719,Limagrain,L11719,C,Neoga,ThreeYrAve,NA
Miller Bros Farm and Fert._L214,Miller Bros Farm and Fert.,L214,G,Neoga,ThreeYrAve,NA
Miller Bros Farm and Fert._L334,Miller Bros Farm and Fert.,L334,U,Neoga,ThreeYrAve,NA
Pioneer_Pioneer 25R61,Pioneer,Pioneer 25R61,C,Neoga,ThreeYrAve,NA
Pioneer_Pioneer 25R74,Pioneer,Pioneer 25R74,C,Neoga,ThreeYrAve,NA
Pioneer_Pioneer 25R77,Pioneer,Pioneer 25R77,C,Neoga,ThreeYrAve,96.527
USG_3118,USG,3118,C,Neoga,ThreeYrAve,NA
USG_3197,USG,3197,C,Neoga,ThreeYrAve,84.119
USG_3228,USG,3228,C,Neoga,ThreeYrAve,NA
USG_3329,USG,3329,C,Neoga,ThreeYrAve,NA
USG_3404,USG,3404,C,Neoga,ThreeYrAve,100.118
USG_3448,USG,3448,C,Neoga,ThreeYrAve,NA
Virginia Crop Impr. Assoc._Hilliard,Virginia Crop Impr. Assoc.,Hilliard,G,Neoga,ThreeYrAve,95.589
Virginia Crop Impr. Assoc._VA12W-68,Virginia Crop Impr. Assoc.,VA12W-68,G,Neoga,ThreeYrAve,NA
